KIC, group, n_modes, numax, numax_err, delta_nu, Teff, Teff_err, Fe_H, alpha_Fe, eccentricity, mass_16, mass, mass_84, radius_16, radius, radius_84, age_16, age, age_84
6547007 , C , 6 ,  37.45 ,   0.64 ,  4.517 ,   4728 ,  73 , -0.70 ,  0.20 , 0.275 ,  0.80 ,  0.80 ,  0.90 ,  8.57 ,  8.60 ,  8.95 , 11.09 , 16.63 , 17.35     
6752140 , C , 7 ,  60.03 ,   1.02 ,  5.953 ,   4764 ,  74 , -0.53 ,  0.31 , 0.214 ,  1.18 ,  1.20 ,  1.22 ,  8.19 ,  8.23 ,  8.29 ,  4.29 ,  4.65 ,  4.98     
6837256 , C , 7 ,  35.36 ,   0.60 ,  3.927 ,   4731 ,  73 , -0.57 ,  0.24 , 0.279 ,  1.22 ,  1.24 ,  1.28 , 10.83 , 10.89 , 11.00 ,  3.55 ,  3.97 ,  4.19     
6924105 , C , 7 , 103.47 ,   1.76 , 10.019 ,   5123 , 104 , -1.29 ,  0.39 , 0.364 ,  0.87 ,  0.88 ,  0.89 ,  5.27 ,  5.29 ,  5.33 ,  9.25 ,  9.93 , 10.33     
7006903 , C , 7 ,  44.75 ,   0.76 ,  5.148 ,   4719 ,  83 , -0.63 ,  0.25 , 0.282 ,  0.90 ,  0.92 ,  0.96 ,  8.27 ,  8.33 ,  8.44 ,  9.39 , 10.93 , 11.78     
7019157 , C , 5 ,  27.47 ,   0.47 ,  3.438 ,   4820 ,  90 , -1.23 ,  0.36 , 0.141 ,  1.03 ,  1.10 ,  1.14 , 11.22 , 11.50 , 11.63 ,  4.11 ,  4.55 ,  5.69     
7255651 , B , 6 ,  22.48 ,   0.38 ,  3.004 ,   4962 ,  98 , -1.44 ,  0.28 , 0.301 ,  0.95 ,  0.97 ,  1.00 , 11.90 , 11.98 , 12.12 ,  5.91 ,  6.71 ,  7.14     
7257193 , C , 4 ,  15.89 ,   0.27 ,  2.322 ,   4609 ,  73 , -0.85 ,  0.28 , 0.361 ,  0.78 ,  0.91 ,  0.94 , 13.27 , 14.01 , 14.14 ,  9.11 , 10.13 , 17.51     
7257814 , C , 5 ,  30.26 ,   0.51 ,  3.741 ,   4641 ,  75 , -0.56 ,  0.24 , 0.142 ,  0.90 ,  0.89 ,  1.01 , 10.15 , 10.12 , 10.58 ,  8.12 , 12.92 , 12.28     
7265189 , C , 6 ,  85.02 ,   1.45 ,  8.449 ,   4996 ,  87 , -0.98 ,  0.22 , 0.216 ,  0.85 ,  0.87 ,  0.91 ,  5.79 ,  5.85 ,  5.94 ,  9.20 , 10.71 , 11.98     
7335713 , C , 6 , 158.37 ,   2.69 , 13.732 ,   4981 ,  98 , -0.81 ,  0.15 , 0.123 ,  0.85 ,  0.87 ,  0.90 ,  4.24 ,  4.28 ,  4.33 , 10.13 , 11.44 , 12.68     
7510918 , C , 6 ,  31.99 ,   0.54 ,  4.011 ,   4738 ,  84 , -0.63 ,  0.18 , 0.107 ,  0.83 ,  0.87 ,  0.91 ,  9.41 ,  9.55 ,  9.72 , 10.89 , 12.98 , 15.11     
7594337 , C , 6 ,  97.12 ,   1.65 ,  9.233 ,   4815 ,  77 , -0.57 ,  0.20 , 0.263 ,  0.93 ,  0.94 ,  0.96 ,  5.67 ,  5.69 ,  5.73 ,  9.38 , 10.21 , 10.69     
7596219 , C , 4 ,  19.35 ,   0.33 ,  2.699 ,   4593 ,  74 , -0.70 ,  0.25 , 0.613 ,  0.89 ,  0.91 ,  0.92 , 12.50 , 12.57 , 12.66 , 10.24 , 11.08 , 11.87     
7799904 , C , 7 ,  77.60 ,   1.32 ,  7.820 ,   4763 ,  74 , -0.52 ,  0.22 , 0.455 ,  0.90 ,  0.93 ,  0.94 ,  6.24 ,  6.30 ,  6.34 , 10.62 , 11.41 , 12.71     
7908109 , C , 5 ,  52.38 ,   0.89 ,  5.802 ,   4774 ,  82 , -0.76 ,  0.24 , 0.652 ,  0.90 ,  0.91 ,  0.92 ,  7.57 ,  7.60 ,  7.65 ,  9.83 , 10.57 , 11.06     
8099102 , C , 5 ,  26.61 ,   0.45 ,  3.390 ,   4732 ,  76 , -0.77 ,  0.22 , 0.186 ,  0.91 ,  0.93 ,  0.99 , 10.80 , 10.87 , 11.11 ,  7.71 ,  9.59 , 10.34     
8210058 , C , 6 ,  39.97 ,   0.68 ,  4.762 ,   4758 ,  86 , -0.76 ,  0.26 , 0.389 ,  0.81 ,  0.85 ,  0.89 ,  8.35 ,  8.51 ,  8.64 , 11.21 , 13.20 , 15.94     
8417027 , C , 6 ,  31.41 ,   0.53 ,  3.880 ,   4698 ,  85 , -0.53 ,  0.24 , 0.231 ,  0.87 ,  0.87 ,  0.94 ,  9.73 ,  9.74 , 10.01 , 10.38 , 14.04 , 13.81     
8544630 , C , 6 ,  73.96 ,   1.26 ,  7.495 ,   4787 ,  89 , -0.53 ,  0.17 , 0.681 ,  0.89 ,  0.91 ,  0.93 ,  6.37 ,  6.44 ,  6.48 , 10.56 , 11.43 , 12.70     
8557457 , C , 6 ,  33.98 ,   0.58 ,  4.094 ,   4742 ,  79 , -0.72 ,  0.24 , 0.236 ,  0.91 ,  0.96 ,  0.98 ,  9.51 ,  9.69 ,  9.76 ,  8.22 ,  9.01 , 10.83     
8683589 , C , 4 ,  16.58 ,   0.28 ,  2.328 ,   4484 ,  63 , -0.58 ,  0.28 , 0.505 ,  1.02 ,  1.03 ,  1.05 , 14.51 , 14.58 , 14.69 ,  7.05 ,  7.65 ,  8.12     
